gage	nwm30_link	name
15200280	19020190011954	GULKANA R AT SOURDOUGH AK
15209700	19020190030500	WF KENNICOTT R AT MCCARTHY AK
15209750	19020190027603	BONANZA C NR MC CARTHY AK
15214000	19020190071374	COPPER R AT MILLION DOLLAR BRIDGE NR CORDOVA AK
15215900	19020190081841	GLACIER R TRIB NR CORDOVA AK
15215990	19020209001847	NICOLET C NR CORDOVA AK
15225996	19020209000264	SOLOMON GULCH TAILRACE NR VALDEZ AK
15226620	19020209000240	LOWE R AB HORSETAIL FALLS NR VALDEZ AK
15227090	19020209000141	VALDEZ GLACIER R AT VALDEZ GLACIER LK NR VALDEZ AK
15236210	19020209001720	WHITTIER C AT WHITTIER AK
15236900	19020209002484	WOLVERINE C NR LAWING AK
15237030	19020209002298	ESHAMY C AT ESHAMY LAKE OUTLET NR WHITTIER AK
15237730	75004200000993	GROUSE C AT GROUSE LK OUTLET NR SEWARD AK
15238500	75004200001741	LOWELL C AT SEWARD AK
15238600	75004200000096	SPRUCE C NR SEWARD AK
15238648	75004200013549	UPPER NUKA R NR PARK BOUNDARY NR HOMER AK
15238978	75004300000956	BATTLE C DIV AB BRADLEY LK NR HOMER AK
15238982	75004300006070	BATTLE C BL GLACIER NR HOMER AK
15238984	75004300004983	SF BATTLE C NR HOMER AK
15238986	75004300008012	BATTLE C 1.0 MI AB MOUTH NR HOMER AK
15238990	75004300005099	UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK
15239001	75004300005046	BRADLEY R BL DAM NR HOMER AK
15239050	75004300004059	MF BRADLEY R NR HOMER AK
15239060	75004300005039	MF BRADLEY R BL NF BRADLEY R NR HOMER AK
15239070	75004300006071	BRADLEY R NR TIDEWATER NR HOMER AK
15239900	75004300004254	ANCHOR R NR ANCHOR POINT AK
15243900	75004400006815	SNOW R NR SEWARD AK
15258000	75004400010832	KENAI R AT COOPER LANDING AK
15261000	75004400007852	COOPER C AT MOUTH NR COOPER LANDING AK
15266110	75004400010513	KENAI R BL SKILAK LK OUTLET NR STERLING AK
15266150	75004400003133	KENAI R BL MOUTH OF KILLEY R NR STERLING AK
15266300	75004400001498	KENAI R AT SOLDOTNA AK
15269500	75004400001464	GRANITE C NR PORTAGE AK
15271000	75004400006721	SIXMILE C NR HOPE AK
15272280	75004400011755	PORTAGE C AT PORTAGE LK OUTLET NR WHITTIER AK
15272380	75004400011711	TWENTYMILE R BL GLACIER R NR PORTAGE AK
15272502	75004400005598	GLACIER C AT ALYESKA HIGHWAY AT GIRDWOOD, AK
15273045	75000100000059	RABBIT C AT OLD SEWARD HWY NR ANCHORAGE AK
15274600	75000100000004	CAMPBELL C NR SPENARD AK
15275100	75000100004336	CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK
15276000	75000100003094	SHIP C NR ANCHORAGE AK
15280200	75000100004047	EKLUTNA R AT OLD GLENN HWY AT EKLUTNA AK
15280999	75000400014405	PALMER (BODENBURG) C AT E DILLY AVE NR PALMER AK
15281000	75000400019328	KNIK R NR PALMER AK
15283700	75000400014403	MOOSE C NR PALMER AK
15284000	75000400009620	MATANUSKA R AT PALMER AK
15285000	75000100000458	WASILLA C NR PALMER AK
15290000	75000200002092	L SUSITNA R NR PALMER AK
15291000	75000700032122	SUSITNA R NR DENALI AK
15291700	75000700030756	SUSITNA R AB TSUSENA C NR CHULITNA AK
15292000	75000700033596	SUSITNA R AT GOLD CREEK AK
15292400	75000500010609	CHULITNA R NR TALKEETNA AK
15292700	75000300025361	TALKEETNA R NR TALKEETNA AK
15292780	75000200013536	SUSITNA R AT SUNSHINE AK
15292800	75000200018814	MONTANA C NR MONTANA AK
15293200	75000200018806	KASHWITNA R NR WILLOW AK
15293700	75000200008551	L WILLOW C NR KASHWITNA AK
15294005	75000200011336	WILLOW C NR WILLOW AK
15294080	75000200000278	KROTO CREEK AT OILWELL ROAD NEAR TRAPPER CREEK AK
15294345	75000600010189	YENTNA R NR SUSITNA STATION AK
15294350	75000200007927	SUSITNA R AT SUSITNA STATION AK
15294500	75005300004934	CHAKACHATNA R NR TYONEK AK
15294640	75005400046739	LAKE FORK CRESCENT R NR TUXEDNI BAY AK
