gage	nwm30_link	name
01010000	4289887	St. John River at Ninemile Bridge, Maine
01010070	4289553	Big Black River near Depot Mtn, Maine
01010500	4288603	St. John River at Dickey, Maine
01011000	721640	Allagash River near Allagash, Maine
01011500	4288013	St. Francis River near Connors, New Brunswick
01013500	724696	Fish River near Fort Kent, Maine
01014000	4287759	St. John River below Fish R, nr Fort Kent, Maine
01015800	805443	Aroostook River near Masardis, Maine
01017000	805113	Aroostook River at Washburn, Maine
01017060	802939	Hardwood Brook below Glidden Brk nr Caribou, Maine
01017290	802877	Little Madawaska River at Caribou, Maine
01017550	816569	Williams Brook at Phair, Maine
01017960	817263	Meduxnekeag R above S Br Medux. R nr Houlton, ME
01018000	817261	Meduxnekeag River near Houlton, Maine
01018009	817499	Pearce Brook at Route 1 at Houlton, Maine
01018035	817165	Meduxnekeag River at Lowery Rd. nr Houlton, Maine
01018500	1010003783	St. Croix River at Vanceboro, Maine
01019000	5196478	Grand Lake Stream at Grand Lake Stream, Maine
01021000	5197200	St. Croix River at Baring, Maine
01021470	2677654	Libby Brook near Northfield, Maine
01021480	2676222	Old Stream near Wesley, Maine
01022294	2679458	East Br Bear Brook near Beddington, Maine
01022500	2677104	Narraguagus River at Cherryfield, Maine
01022840	2683216	Otter Creek near Bar Harbor, Maine
01027200	1702734	North Branch Penobscot River nr Pittston Farm, ME
01027240	1702872	S. Br. Penobscot River nr Canada Falls Lake, Maine
01029200	1711010	Seboeis River near Shin Pond, Maine
01029500	1713454	East Branch Penobscot River at Grindstone, Maine
01030350	3109	Wytopitlock Stream near Wytopitlock Maine
01030500	3923	Mattawamkeag River near Mattawamkeag, Maine
01031300	1721977	Piscataquis River at Blanchard, Maine
01031450	1722913	Kingsbury Stream at Abbot Village, Maine
01031500	1722317	Piscataquis River near Dover-Foxcroft, Maine
01031510	1722933	Black Stream near Dover-Foxcroft, Maine
01034000	1720007	Piscataquis River at Medford, Maine
01034500	1733994	Penobscot River at West Enfield, Maine
01037000	1735782	Kenduskeag Stream near Bangor, Maine
01037380	2685414	Ducktrap River near Lincolnville, Maine
01038000	5202858	Sheepscot River at North Whitefield, Maine
01042500	1025264	Kennebec River at The Forks, Maine
01043500	1032541	Dead River near Dead River, Maine
01044550	1032315	Spencer Stream near Grand Falls, Maine
01046000	3318560	Austin Stream at Bingham, Maine
01046500	3319220	Kennebec River at Bingham, Maine
01047000	3321976	Carrabassett River near North Anson, Maine
01047150	3322102	Kennebec River near Madison, Maine
01047200	3323262	Sandy River near Madrid, Maine
01048000	3322258	Sandy River near Mercer, Maine
01048220	3320218	East Branch Wesserunsett Stream near Athens, Maine
01049500	3324780	Cobbosseecontee Stream at Gardiner, Maine
01052500	19334265	Diamond River near Wentworth Location, NH
01053500	19334535	Androscoggin River at Errol, NH
01053600	19334577	Androscoggin River below Bog Brook at Cambridge NH
01054000	19335265	Androscoggin River near Gorham, NH
01054114	19335075	Peabody River at Gorham, New Hampshire
01054200	6716129	Wild River at Gilead, Maine
01054300	6710239	Ellis River at South Andover, Maine
01054500	6710311	Androscoggin River at Rumford, Maine
01055000	6709987	Swift River near Roxbury, Maine
01055500	6712297	Nezinscot River at Turner Center, Maine
01057000	6711893	Little Androscoggin River near South Paris, Maine
01059000	6712623	Androscoggin River near Auburn, Maine
01060000	6722249	Royal River at Yarmouth, Maine
01063310	6720973	Stony Brook at East Sebago, Maine
01064118	6724855	Presumpscot River at Westbrook, Maine
010642505	9311719	SACO RIVER AT RIVER STREET, AT BARTLETT, NH
01064500	9316375	Saco River near Conway, NH
01064801	9315863	BEARCAMP RIVER AT SOUTH TAMWORTH, NH
01066000	9314337	Saco River at Cornish, Maine
01067950	5845376	Kennebunk River near Kennebunk, Maine
01068910	5845396	Mousam River at Route 4 near Sanford, Maine
01069500	5844210	Mousam River near West Kennebunk, Maine
