gage	nwm30_link	name
50039995	800025288	
50010500	800035037	RIO GUAJATACA AT LARES, PR
50011000	800034965	CANAL DE DERIVACION AT LAGO DE GUAJATACA, PR
50011085	800030234	CANAL DE MOCA ABV LAGO REGULADOR (E13) ISABELA, PR
50011128	800026095	CANAL MOCA ABV AGUADILLA PLANT, AGUADILLA, PR
50014800	800025933	RIO CAMUY NR BAYANEY, PR
50021700	800035178	RIO GRANDE DE ARECIBO ABV UTUADO, PR
50024950	800035211	RIO GRANDE DE ARECIBO BLW UTUADO, PR
50025155	800035376	RIO SALIENTE AT COABEY NR JAYUYA, PR
50026025	800033158	RIO CAONILLAS AT PASO PALMA, PR
50027000	800024543	RIO LIMON ABV LAGO DOS BOCAS, PR
50027600	800032369	RIO GRANDE DE ARECIBO NR SAN PEDRO, PR
50028000	800026595	RIO TANAMA NR UTUADO, PR
50028400	800028757	RIO TANAMA AT CHARCO HONDO, PR
50029000	800028781	RIO GRANDE DE ARECIBO AT CENTRAL CAMBALACHE, PR
50031200	800029123	RIO GRANDE DE MANATI NR MOROVIS, PR
50034000	800029052	RIO BAUTA NR OROCOVIS, PR
50035000	800037673	RIO GRANDE DE MANATI AT CIALES, PR
50038100	800031165	RIO GRANDE DE MANATI AT HWY 2 NR MANATI, PR
50038320	800033509	RIO CIBUCO BLW COROZAL, PR
50039500	800033475	RIO CIBUCO AT VEGA BAJA, PR
50043197	800031422	RIO USABON AT HWY 162 NR BARRANQUITAS, PR
50043800	800025133	RIO DE LA PLATA AT COMERIO, PR
50044810	800040165	RIO GUADIANA NR GUADIANA, NARANJITO PR
50045010	800025099	RIO DE LA PLATA BLW LA PLATA DAMSITE, PR
50046000	800035815	RIO DE LA PLATA AT HWY 2 NR TOA ALTA, PR
50047535	800025251	RIO DE BAYAMON AT ARENAS, PR
50047560	800033809	RIO DE BAYAMON BLW LAGO DE CIDRA DAM, PR
50047850	800029540	RIO DE BAYAMON NR BAYAMON, PR
50048690	800038264	QUEBRADA LAS CURIAS BLW LAS CURIAS OUTFLOW, PR
50049100	800038244	RIO PIEDRAS AT HATO REY, PR
50049620	800040368	QDA. MARGARITA AT CAPARRA INTER. NR GUAYNABO, PR
50050900	800036208	RIO GRANDE DE LOIZA AT QUEBRADA ARENAS, PR
50051310	800031925	RIO CAYAGUAS AT CERRO GORDO, PR
50051800	800040583	RIO GRANDE DE LOIZA AT HWY 183 SAN LORENZO, PR
50053025	800027564	RIO TURABO ABV BORINQUEN, PR
50055000	800038315	RIO GRANDE DE LOIZA AT CAGUAS, PR
50055225	800040437	RIO CAGUITAS AT VILLA BLANCA AT CAGUAS, PR
50055380	800038237	RIO BAIROA ABV BAIROA, CAGUAS, PR
50055750	800027803	RIO GURABO BLW EL MANGO, PR
50056400	800038453	RIO VALENCIANO NR JUNCOS, PR
50057000	800034059	RIO GURABO AT GURABO, PR
50058350	800029667	RIO CANAS AT RIO CANAS, PR
50059050	800031871	RIO GRANDE DE LOIZA BLW LOIZA DAMSITE, PR
50059210	800027665	QUEBRADA GRANDE AT BO. DOS BOCAS, PR
50061800	800029918	RIO CANOVANAS NR CAMPO RICO, PR
50063440	800038616	QUEBRADA SONADORA NR EL VERDE, PR
50063800	800034307	RIO ESPIRITU SANTO NR RIO GRANDE, PR
50064200	800034266	RIO GRANDE NR EL VERDE, PR
50065500	800040856	RIO MAMEYES NR SABANA, PR
50067000	800030113	RIO SABANA AT SABANA, PR
50070900	800032272	RIO FAJARDO AT PARAISO NR FAJARDO, PR
50071000	800036573	RIO FAJARDO NR FAJARDO, PR
50075000	800038641	RIO ICACOS NR NAGUABO, PR
50076000	800030035	RIO BLANCO NR FLORIDA, PR
50081000	800036382	RIO HUMACAO AT LAS PIEDRAS, PR
50083500	800036348	RIO GUAYANES NR YABUCOA, PR
50085100	800038820	RIO GUAYANES AT CENTRAL ROIG, PR
50090500	800027711	RIO MAUNABO AT LIZAS, PR
50092000	800029680	RIO GRANDE DE PATILLAS NR PATILLAS, PR
50093000	800029707	RIO MARIN NR PATILLAS, PR
50093078	800033837	CANAL DE PATILLAS BLW GUAYAMA FILTRATION PLANT, PR
50093120	800027585	RIO GRANDE DE PATILLAS BLW LAGO PATILLAS, PR
50100200	800037943	RIO LAPA NR RABO DEL BUEY, PR
50100450	800025122	RIO MAJADA AT LA PLENA, PR
