Time,sim_flow
2022-12-01 06:00:00,3.08
2022-12-01 12:00:00,2.99
2022-12-01 18:00:00,2.53
2022-12-02 00:00:00,2.07
2022-12-02 06:00:00,2.03
2022-12-02 12:00:00,2.1
2022-12-02 18:00:00,2.0
2022-12-03 00:00:00,1.8
2022-12-03 06:00:00,1.83
2022-12-03 12:00:00,1.87
2022-12-03 18:00:00,2.9
2022-12-04 00:00:00,4.16
2022-12-04 06:00:00,3.76
2022-12-04 12:00:00,3.0
2022-12-04 18:00:00,2.49
2022-12-05 00:00:00,2.07
2022-12-05 06:00:00,1.87
2022-12-05 12:00:00,1.88
2022-12-05 18:00:00,1.99
2022-12-06 00:00:00,1.87
2022-12-06 06:00:00,1.88
2022-12-06 12:00:00,1.9
2022-12-06 18:00:00,1.93
2022-12-07 00:00:00,1.94
2022-12-07 06:00:00,2.42
2022-12-07 12:00:00,5.98
2022-12-07 18:00:00,9.62
2022-12-08 00:00:00,9.17
2022-12-08 06:00:00,8.58
2022-12-08 12:00:00,7.37
2022-12-08 18:00:00,5.14
2022-12-09 00:00:00,3.35
2022-12-09 06:00:00,3.0
2022-12-09 12:00:00,2.91
2022-12-09 18:00:00,2.5
2022-12-10 00:00:00,2.01
2022-12-10 06:00:00,1.94
2022-12-10 12:00:00,2.12
2022-12-10 18:00:00,2.22
2022-12-11 00:00:00,2.2
2022-12-11 06:00:00,2.16
2022-12-11 12:00:00,2.26
2022-12-11 18:00:00,2.28
2022-12-12 00:00:00,2.22
2022-12-12 06:00:00,2.17
2022-12-12 12:00:00,2.18
2022-12-12 18:00:00,2.17
2022-12-13 00:00:00,2.12
2022-12-13 06:00:00,2.04
2022-12-13 12:00:00,2.02
2022-12-13 18:00:00,2.02
2022-12-14 00:00:00,2.0
2022-12-14 06:00:00,1.97
2022-12-14 12:00:00,1.92
2022-12-14 18:00:00,1.9
2022-12-15 00:00:00,1.88
2022-12-15 06:00:00,1.89
2022-12-15 12:00:00,1.86
2022-12-15 18:00:00,1.86
2022-12-16 00:00:00,1.9
2022-12-16 06:00:00,2.94
2022-12-16 12:00:00,5.38
2022-12-16 18:00:00,7.5
2022-12-17 00:00:00,8.65
2022-12-17 06:00:00,7.67
2022-12-17 12:00:00,8.36
2022-12-17 18:00:00,7.31
2022-12-18 00:00:00,5.01
2022-12-18 06:00:00,4.06
2022-12-18 12:00:00,3.51
2022-12-18 18:00:00,3.32
2022-12-19 00:00:00,2.77
2022-12-19 06:00:00,2.71
2022-12-19 12:00:00,3.04
2022-12-19 18:00:00,2.73
2022-12-20 00:00:00,2.32
2022-12-20 06:00:00,2.23
2022-12-20 12:00:00,2.29
2022-12-20 18:00:00,2.34
2022-12-21 00:00:00,2.3
2022-12-21 06:00:00,2.29
2022-12-21 12:00:00,2.26
2022-12-21 18:00:00,2.44
2022-12-22 00:00:00,2.34
2022-12-22 06:00:00,2.3
2022-12-22 12:00:00,2.23
2022-12-22 18:00:00,2.35
2022-12-23 00:00:00,2.47
2022-12-23 06:00:00,6.15
2022-12-23 12:00:00,10.98
2022-12-23 18:00:00,13.49
2022-12-24 00:00:00,14.92
2022-12-24 06:00:00,13.05
2022-12-24 12:00:00,11.26
2022-12-24 18:00:00,9.25
2022-12-25 00:00:00,7.19
2022-12-25 06:00:00,6.06
2022-12-25 12:00:00,5.26
2022-12-25 18:00:00,4.32
2022-12-26 00:00:00,3.98
2022-12-26 06:00:00,3.73
2022-12-26 12:00:00,3.3
2022-12-26 18:00:00,3.33
2022-12-27 00:00:00,2.79
2022-12-27 06:00:00,2.73
2022-12-27 12:00:00,2.73
2022-12-27 18:00:00,2.73
2022-12-28 00:00:00,2.61
2022-12-28 06:00:00,2.62
2022-12-28 12:00:00,2.62
2022-12-28 18:00:00,2.69
2022-12-29 00:00:00,2.65
2022-12-29 06:00:00,2.54
2022-12-29 12:00:00,2.5
2022-12-29 18:00:00,2.61
2022-12-30 00:00:00,2.47
2022-12-30 06:00:00,2.42
2022-12-30 12:00:00,2.4
2022-12-30 18:00:00,2.57
2022-12-31 00:00:00,2.46
