Time,sim_flow
2022-12-01 04:00:00,3.2
2022-12-01 05:00:00,3.08
2022-12-01 06:00:00,3.08
2022-12-01 07:00:00,3.13
2022-12-01 08:00:00,3.17
2022-12-01 09:00:00,3.13
2022-12-01 10:00:00,3.09
2022-12-01 11:00:00,3.09
2022-12-01 12:00:00,2.99
2022-12-01 13:00:00,2.91
2022-12-01 14:00:00,2.93
2022-12-01 15:00:00,2.86
2022-12-01 16:00:00,2.76
2022-12-01 17:00:00,2.62
2022-12-01 18:00:00,2.53
2022-12-01 19:00:00,2.45
2022-12-01 20:00:00,2.31
2022-12-01 21:00:00,2.23
2022-12-01 22:00:00,2.16
2022-12-01 23:00:00,2.11
2022-12-02 00:00:00,2.07
2022-12-02 01:00:00,2.03
2022-12-02 02:00:00,2.0
2022-12-02 03:00:00,1.98
2022-12-02 04:00:00,1.98
2022-12-02 05:00:00,2.01
2022-12-02 06:00:00,2.03
2022-12-02 07:00:00,2.04
2022-12-02 08:00:00,2.06
2022-12-02 09:00:00,2.08
2022-12-02 10:00:00,2.1
2022-12-02 11:00:00,2.1
2022-12-02 12:00:00,2.1
2022-12-02 13:00:00,2.06
2022-12-02 14:00:00,2.04
2022-12-02 15:00:00,2.03
2022-12-02 16:00:00,2.04
2022-12-02 17:00:00,2.02
2022-12-02 18:00:00,2.0
2022-12-02 19:00:00,1.97
2022-12-02 20:00:00,1.92
2022-12-02 21:00:00,1.87
2022-12-02 22:00:00,1.84
2022-12-02 23:00:00,1.82
2022-12-03 00:00:00,1.8
