gage	nws_id	calibration	agency	name	lat	lon
01010000	NINM1	True	USGS	St. John River at Ninemile Bridge, Maine	46.70055556	-69.7155556
01010070	BBRM1	False	USGS	Big Black River near Depot Mtn, Maine	46.89388889	-69.7516667
01010500	DICM1	False	USGS	St. John River at Dickey, Maine	47.11305556	-69.0880556
01011000	ALLM1	True	USGS	Allagash River near Allagash, Maine	47.0697222	-69.0794444
01011500		False	USGS	St. Francis River near Connors, New Brunswick	47.20697926	-68.9564281
01012960		False	USGS	Fish River at Soldier Pond, Maine	47.15597778	-68.5743667
01013500	FIHM1	True	USGS	Fish River near Fort Kent, Maine	47.2375	-68.58277778
01014000	FTKM1	False	USGS	St. John River below Fish R, nr Fort Kent, Maine	47.2833333	-68.58527778
01015800	MASM1	True	USGS	Aroostook River near Masardis, Maine	46.52305556	-68.3716667
01017000	WSHM1	False	USGS	Aroostook River at Washburn, Maine	46.7772222	-68.1572222
01017060	HWBM1	False	USGS	Hardwood Brook below Glidden Brk nr Caribou, Maine	46.7836111	-67.9891667
01017290	LMRM1	False	USGS	Little Madawaska River at Caribou, Maine	46.8886111	-67.945
01017550	PHRM1	False	USGS	Williams Brook at Phair, Maine	46.62805556	-67.9530556
01017960	MXKM1	False	USGS	Meduxnekeag R above S Br Medux. R nr Houlton, ME	46.105	-67.88138889
01018000		False	USGS	Meduxnekeag River near Houlton, Maine	46.105	-67.8666667
01018009	PEAM1	False	USGS	Pearce Brook at Route 1 at Houlton, Maine	46.11527778	-67.84027778
01018035	MXLM1	False	USGS	Meduxnekeag River at Lowery Rd. nr Houlton, Maine	46.1811111	-67.80388889
01018500	VBOM1	False	USGS	St. Croix River at Vanceboro, Maine	45.5683333	-67.4283333
01019000	GLSM1	False	USGS	Grand Lake Stream at Grand Lake Stream, Maine	45.1725	-67.76888889
01021000	BARM1	False	USGS	St. Croix River at Baring, Maine	45.1369444	-67.3180556
01021050	MILB3	False	USGS	St. Croix River at Milltown, Maine	45.17	-67.2966667
01021060	CALM1	False	USGS	St. Croix River at Calais, Maine	45.1916583	-67.2834222
01021200		False	USGS	Dennys River at Dennysville, Maine	44.90138889	-67.2475
01021230		False	USGS	Cathance Stream at Edmunds, Maine	44.8869444	-67.2669444
01021452		False	USGS	Mopang Stream near Beddington ME	44.8711111	-67.94138889
01021470	LIBM1	False	USGS	Libby Brook near Northfield, Maine	44.8008333	-67.725
01021480	WSLM1	True	USGS	Old Stream near Wesley, Maine	44.9369444	-67.7361111
01021500		False	USGS	Machias River at Whitneyville, Maine	44.72305556	-67.5205556
01022210		False	USGS	Pleasant River above Colonel Brk nr Crebo Flat, ME	44.7825	-67.9230556
01022220		False	USGS	Pleasant River near Crebo Flat, Maine	44.76888889	-67.9233333
01022260		False	USGS	Pleasant River near Epping, Maine	44.69777778	-67.7872222
01022294		False	USGS	East Br Bear Brook near Beddington, Maine	44.85909167	-68.10396389
01022295		False	USGS	West Br Bear Brook near Beddington, Maine	44.858575	-68.1031694
01022330		False	USGS	Narraguagus River at Deblois, Maine	44.7408333	-68.0133333
01022500	CFDM1	False	USGS	Narraguagus River at Cherryfield, Maine	44.60805556	-67.93527778
01022800		False	USGS	Old Mill Brook at Old Norway Dr nr Bar Harbor, ME	44.39850278	-68.28772778
01022835		False	USGS	Cadillac Brook near Bar Harbor, Maine	44.34416667	-68.2169444
01022840	OTRM1	False	USGS	Otter Creek near Bar Harbor, Maine	44.33277778	-68.2066667
01022860		False	USGS	Hadlock Bk nr Cedar Swamp Mtn nr Northeast Hbr, ME	44.33055556	-68.28277778
010228955		False	USGS	Outlet Bass Hbr Marsh at Rt 102 at Tremont, Maine	44.25291389	-68.3492
01027200	SBMM1	True	USGS	North Branch Penobscot River nr Pittston Farm, ME	45.93527778	-69.9936111
01027240	GDFM1	False	USGS	S. Br. Penobscot River nr Canada Falls Lake, Maine	45.8739222	-69.9950083
01029100		False	USGS	E. Br. Penobscot River below Grand Lake Matagamon	46.1343611	-68.7939056
01029200	SBSM1	True	USGS	Seboeis River near Shin Pond, Maine	46.14305556	-68.6336111
01029500	GRNM1	True	USGS	East Branch Penobscot River at Grindstone, Maine	45.73027778	-68.5894444
01030000		False	USGS	PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME	45.5663333	-68.40366389
01030350	WYTM1	False	USGS	Wytopitlock Stream near Wytopitlock Maine	45.7086111	-68.1580556
01030500	MATM1	True	USGS	Mattawamkeag River near Mattawamkeag, Maine	45.5011111	-68.3058333
01031300	BLAM1	True	USGS	Piscataquis River at Blanchard, Maine	45.2672222	-69.58388889
01031450	ABTM1	False	USGS	Kingsbury Stream at Abbot Village, Maine	45.1844444	-69.4522222
01031500	DOVM1	True	USGS	Piscataquis River near Dover-Foxcroft, Maine	45.175	-69.3147222
01031510	BSTM1	True	USGS	Black Stream near Dover-Foxcroft, Maine	45.15027778	-69.23638889
01033000		False	USGS	Sebec River at Sebec, Maine	45.27	-69.1122222
01034000	MFDM1	False	USGS	Piscataquis River at Medford, Maine	45.26055556	-68.8686111
01034500	WENM1	False	USGS	Penobscot River at West Enfield, Maine	45.2361111	-68.65138889
01036390	EDDM1	False	USGS	Penobscot River at Eddington, Maine	44.82666667	-68.6966667
01037000	KENM1	False	USGS	Kenduskeag Stream near Bangor, Maine	44.8611111	-68.8316667
01037050	BPRM1	False	USGS	Penobscot River at Bangor, Maine	44.79638889	-68.76777778
01037380	LINM1	True	USGS	Ducktrap River near Lincolnville, Maine	44.32916667	-69.0608333
01038000	NWFM1	True	USGS	Sheepscot River at North Whitefield, Maine	44.22277778	-69.59388889
01042500	FRKM1	False	USGS	Kennebec River at The Forks, Maine	45.3397222	-69.9619444
01043500	DEDM1	False	USGS	Dead River near Dead River, Maine	45.22905	-70.20112778
01044550	SPEM1	True	USGS	Spencer Stream near Grand Falls, Maine	45.3136111	-70.2416667
01046000	AUSM1	True	USGS	Austin Stream at Bingham, Maine	45.0644444	-69.8805556
01046500	BINM1	False	USGS	Kennebec River at Bingham, Maine	45.0519444	-69.8855556
01047000	NANM1	True	USGS	Carrabassett River near North Anson, Maine	44.86916667	-69.955
01047150	MDSM1	False	USGS	Kennebec River near Madison, Maine	44.77888889	-69.8869444
01047200	MDIM1	True	USGS	Sandy River near Madrid, Maine	44.85777778	-70.48527778
01048000	MERM1	True	USGS	Sandy River near Mercer, Maine	44.70805556	-69.9375
01048220	ATHM1	True	USGS	East Branch Wesserunsett Stream near Athens, Maine	44.9475	-69.6569444
01049000		False	USGS	Sebasticook River near Pittsfield, Maine	44.71666667	-69.41388889
01049130		False	USGS	JOHNSON BROOK AT SOUTH ALBION,ME	44.49818889	-69.4861306
01049205		False	USGS	Kennebec River near Waterville, ME	44.5305583	-69.6468056
01049265	SIDM1	False	USGS	Kennebec River at North Sidney, Maine	44.4722222	-69.68388889
01049320	ASTM1	False	USGS	Kennebec River at Calumet Bridge at Augusta, Maine	44.3186111	-69.7716667
01049330	HALM1	False	USGS	Kennebec River at Hallowell, Maine	44.28680556	-69.7881944
01049373		False	USGS	MILL STREAM AT WINTHROP, ME	44.30671944	-69.97105278
01049500	GDRM1	False	USGS	Cobbosseecontee Stream at Gardiner, Maine	44.22916667	-69.7780556
01049505	GIRM1	False	USGS	Kennebec River at Gardiner, Maine	44.23027778	-69.7694444
01049550		False	USGS	Togus Stream at Togus, Maine	44.26613056	-69.6979361
01052500	DIAN3	True	USGS	Diamond River near Wentworth Location, NH	44.8775	-71.0575
SFH		True	CADWR		39.3644485473633	-121.374038696289
01053500	ERRN3	False	USGS	Androscoggin River at Errol, NH	44.7825	-71.1286111
01053600	CMBN3	False	USGS	Androscoggin River below Bog Brook at Cambridge NH	44.6661111	-71.18138889
01054000	GRMN3	False	USGS	Androscoggin River near Gorham, NH	44.4358333	-71.19027778
01054114	PEAN3	False	USGS	Peabody River at Gorham, New Hampshire	44.38131944	-71.1706556
01054200	GILM1	True	USGS	Wild River at Gilead, Maine	44.39055556	-70.9797222
01054300	SADM1	True	USGS	Ellis River at South Andover, Maine	44.5933333	-70.7330556
01054500	RMFM1	False	USGS	Androscoggin River at Rumford, Maine	44.5519444	-70.5441667
01055000	ROXM1	True	USGS	Swift River near Roxbury, Maine	44.64277778	-70.58888889
01055220		False	USGS	Dead River at Leeds, Maine	44.31805556	-70.1222222
01055500	TCRM1	False	USGS	Nezinscot River at Turner Center, Maine	44.26944444	-70.2297222
01056400		False	USGS	The Basin outlet at North Auburn, Maine	44.17694167	-70.2765056
01056480		False	USGS	Townsend Brook near Auburn, Maine	44.16648889	-70.2371694
01056505		False	USGS	Bobbin Mill Brook near Auburn, Maine	44.14228889	-70.2256306
01057000	SPSM1	True	USGS	Little Androscoggin River near South Paris, Maine	44.30388889	-70.5397222
01059000	AUBM1	False	USGS	Androscoggin River near Auburn, Maine	44.0722222	-70.2080556
01059800		False	USGS	Collyer Brook near Gray, Maine	43.91789444	-70.3165972
01060000	YARM1	False	USGS	Royal River at Yarmouth, Maine	43.79915	-70.1782694
01063100		False	USGS	Crooked River near Naples, Maine	43.978975	-70.56365
01063310	SBOM1	False	USGS	Stony Brook at East Sebago, Maine	43.85555556	-70.6397222
01063452		False	USGS	Standish Brook at mouth, at Sebago Lake, Maine	43.7631611	-70.524825
01064118	WBKM1	False	USGS	Presumpscot River at Westbrook, Maine	43.68694444	-70.3472222
01064140	WFAM1	False	USGS	Presumpscot River near West Falmouth, Maine	43.7245972	-70.3029333
010642505	BLTN3	False	USGS	SACO RIVER AT RIVER STREET, AT BARTLETT, NH	44.08388889	-71.2855556
01064485		False	USGS	SWIFT RIVER 0.5 MI BL HOBBS BR, NR CONWAY, NH	43.99305556	-71.2075
01064500	CNWN3	True	USGS	Saco River near Conway, NH	43.9908333	-71.0905556
01064801	BCPN3	True	USGS	BEARCAMP RIVER AT SOUTH TAMWORTH, NH	43.83007396	-71.2878488
01065500		False	USGS	OSSIPEE RIVER AT CORNISH, ME	43.8077083	-70.79757778
01066000	CNHM1	False	USGS	Saco River at Cornish, Maine	43.80805556	-70.7816667
01067851		False	USGS	SANDY BROOK ABOVE LANDFILL NEAR SACO, ME	43.53341389	-70.4839417
01067853		False	USGS	SANDY BROOK BELOW LANDFILL NEAR SACO, ME	43.52561389	-70.4786917
01067950	KNKM1	True	USGS	Kennebunk River near Kennebunk, Maine	43.4322222	-70.5533333
01068910	MOUM1	False	USGS	Mousam River at Route 4 near Sanford, Maine	43.4183333	-70.7380556
01069500	WKBM1	False	USGS	Mousam River near West Kennebunk, Maine	43.4183333	-70.6583333
01069700	KBKM1	True	USGS	Branch Brook near Kennebunk, Maine	43.37916667	-70.5833333
