gage	link	name
01544500	8134650	Kettle Creek at Cross Fork, PA
12137290	23963741	SOUTH FORK SULTAN RIVER NEAR SULTAN, WA
04215500	15576309	CAZENOVIA CREEK AT EBENEZER NY
07053810	7625104	Bull Creek near Walnut Shade, MO
0212467595	9202911	GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC
02472000	18154237	LEAF RIVER NR COLLINS, MS
09498502	22443884	PINTO CREEK NEAR MIAMI, AZ
08050840	1275872	Range Ck nr Collinsville, TX
01403900	9513328	Bound Brook at Middlesex NJ
04273700	9527383	SALMON RIVER AT SOUTH PLATTSBURGH NY
06846500	8164854	BEAVER C AT CEDAR BLUFFS, KS
01169000	10294784	NORTH RIVER AT SHATTUCKVILLE, MA
03567340	19697599	WEST CHICKAMAUGA CR AT GA 146, NEAR LAKEVIEW, GA
12095000	23980763	SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE, WA
11456000	1670127	NAPA R NR ST HELENA CA
07037500	734307	St. Francis River near Patterson, MO
04273800	9527387	LITTLE AUSABLE RIVER NEAR VALCOUR NY
05466500	6960295	EDWARDS RIVER NEAR NEW BOSTON, IL
07226500	20026105	UTE CREEK NEAR LOGAN, NM
09484580	15895584	BARREL CANYON NEAR SONOITA, AZ
12056500	24285534	NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA
01552000	8152257	Loyalsock Creek at Loyalsockville, PA
012035055	7717056	POOTATUCK RIVER AT BERKSHIRE
02408540	22274612	HATCHET CREEK BELOW ROCKFORD AL
01181000	6096297	WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA
01518862	8111873	Cowanesque River at Westfield, PA
06440200	16131765	SOUTH FORK BAD RIVER NEAR COTTONWOOD,SD
01421618	2612794	TOWN BROOK SOUTHEAST OF HOBART NY
08095300	5523936	Middle Bosque Rv nr McGregor, TX
01362370	6189644	STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY
02467500	18531726	SUCARNOOCHEE RIVER AT LIVINGSTON AL
09430600	2430436	MOGOLLON CREEK NEAR CLIFF, NM
06609500	17208706	Boyer River at Logan, IA
08315480	17835114	SANTA FE RIVER ABOVE MCCLURE RES, NR SANTA FE, NM
06409000	17533503	CASTLE CREEK ABOVE DEERFIELD RES NEAR HILL CITY,SD
13336500	23580627	SELWAY RIVER NR LOWELL ID
03069500	3775993	CHEAT RIVER NEAR PARSONS, WV
09404222	20682381	SPENCER CREEK NEAR PEACH SPRINGS, AZ
03408500	12154450	NEW RIVER AT NEW RIVER, TN
03456500	22152435	EAST FORK PIGEON RIVER NEAR CANTON, NC
01547700	8139414	Marsh Creek at Blanchard, PA
01350080	3247464	MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY
06360500	11258604	MOREAU RIVER NEAR WHITEHORSE,SD
06821500	11721499	Arikaree River nr Haigler, Nebr.
14315950	23894310	FISH CREEK ABV SLIPPER CREEK NR TOKETEE FALLS, OR
05087500	7069743	MIDDLE RIVER AT ARGYLE, MN
05275000	2723039	ELK RIVER NEAR BIG LAKE, MN
13313000	23551584	JOHNSON CREEK AT YELLOW PINE ID
07362100	21956120	Smackover Creek near Smackover, AR
12332000	24310031	Middle Fork Rock Cr nr Philipsburg MT
01414000	1748723	PLATTE KILL AT DUNRAVEN NY
03281100	504810	GOOSE CREEK AT MANCHESTER, KY
02055100	8627131	TINKER CREEK NEAR DALEVILLE, VA
02415000	22035157	HILLABEE CREEK NEAR HACKNEYVILLE AL
02059500	8627301	GOOSE CREEK NEAR HUDDLESTON, VA
02299472	16838064	BIG SLOUGH AT WEST PRICE BLVD NEAR NORTH PORT FL
08400000	22455973	FOURMILE DRAW NR LAKEWOOD, NM
07375800	20089222	Tickfaw River at Liverpool, LA
06402430	14396988	BEAVER CREEK NEAR PRINGLE, SD
12451000	23073999	STEHEKIN RIVER AT STEHEKIN, WA
01194000	7702612	EIGHTMILE RIVER AT NORTH PLAIN, CT
08386505	20772466	RIO RUIDOSO AT RUIDOSO, NM
10128500	10093110	WEBER RIVER NEAR OAKLEY, UT
01187300	6105951	HUBBARD RIVER NEAR WEST HARTLAND, CT
01390450	6245850	Saddle River at Upper Saddle River NJ
05516500	13435067	YELLOW RIVER AT PLYMOUTH, IN
02AC001	41040015	
10352500	11849049	MCDERMITT CK NR MCDERMITT, NV
03491000	22178350	BIG CREEK NEAR ROGERSVILLE, TN
094985005	22444106	PINTO CREEK ABOVE HAUNTED CANYON NR MIAMI, AZ
02207385	6330798	BIG HAYNES CREEK AT LENORA ROAD, NR SNELLVILLE, GA
05362000	12981697	JUMP RIVER AT SHELDON, WI
04124500	12121188	EAST BRANCH PINE RIVER NEAR TUSTIN, MI
05447500	10969489	GREEN RIVER NEAR GENESEO, IL
06709000	191739	PLUM CREEK NEAR SEDALIA, CO.
01343060	22741265	WEST CANADA CREEK NEAR WILMURT NY
11014000	20334508	JAMUL C NR JAMUL CA
09485000	15895252	RINCON CREEK NEAR TUCSON, AZ.
05569500	13584750	SPOON RIVER AT LONDON MILLS, IL
13148500	23266994	LITTLE WOOD RIVER NR CAREY ID
11413000	8058675	N YUBA R BL GOODYEARS BAR CA
14308500	23901535	ELK CREEK NR DREW, OR
02266480	21476576	DAVENPORT CREEK NEAR LOUGHMAN, FL
07049000	8588002	War Eagle Creek near Hindsville, AR
14158500	23773371	MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR
06620000	15986337	NORTH PLATTE RIVER NEAR NORTHGATE, CO
01197500	7710210	HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA
04268800	15456660	WEST BRANCH ST. REGIS RIVER NEAR PARISHVILLE NY
02301990	16906283	HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL
02046000	8719481	STONY CREEK NEAR DINWIDDIE, VA
01048000	3322258	Sandy River near Mercer, Maine
08189300	5289427	Medio Ck nr Beeville, TX
12141300	23970363	MIDDLE FORK SNOQUALMIE RIVER NEAR TANNER, WA
09507980	20437048	EAST VERDE RIVER NEAR CHILDS, AZ
08029500	8330722	Big Cow Ck nr Newton, TX
07249920	1539341	Little Lee Creek near Nicut, OK
12413370	23002082	EF PINE CREEK ABV NABOB CR NEAR PINEHURST ID
08447020	3158167	Independence Ck nr Sheffield, TX
07346045	1017865	Black Cypress Bayou at Jefferson, TX
01365000	6200212	RONDOUT CREEK NEAR LOWES CORNERS NY
